,idades,cidades,nomes,e-mail
0,15,Guarulhos,Caio,caio@gmail
1,18,São Paulo,Maria,Maria@gmail
2,25,Guarulhos,José,Jose@gmail
3,25,bh,Joao,Joao@gmail
4,30,Guarulhos,Fernando,Jose@gmail
5,35,Guarulhos,Catia,Jose@gmail
6,28,São Paulo,Pereira,Pereira@gmail
7,20,Guarulhos,JUlia,Jose@gmail
8,15,Guarulhos,Caio,caio@gmail
9,18,São Paulo,Maria,Maria@gmail
10,25,Guarulhos,José,Jose@gmail
11,25,bh,Joao,Joao@gmail
12,30,Guarulhos,Fernando,Jose@gmail
13,35,Guarulhos,Catia,Jose@gmail
14,28,São Paulo,Pereira,Pereira@gmail
15,20,Guarulhos,JUlia,Jose@gmail
16,15,Guarulhos,Caio,caio@gmail
17,18,São Paulo,Maria,Maria@gmail
18,25,Guarulhos,José,Jose@gmail
19,25,bh,Joao,Joao@gmail
20,30,Guarulhos,Fernando,Jose@gmail
21,35,Guarulhos,Catia,Jose@gmail
22,28,São Paulo,Pereira,Pereira@gmail
23,20,Guarulhos,JUlia,Jose@gmail
24,15,Guarulhos,Caio,caio@gmail
25,18,São Paulo,Maria,Maria@gmail
26,25,Guarulhos,José,Jose@gmail
27,25,bh,Joao,Joao@gmail
28,30,Guarulhos,Fernando,Jose@gmail
29,35,Guarulhos,Catia,Jose@gmail
30,28,São Paulo,Pereira,Pereira@gmail
31,20,Guarulhos,JUlia,Jose@gmail
32,15,Guarulhos,Caio,caio@gmail
33,18,São Paulo,Maria,Maria@gmail
34,25,Guarulhos,José,Jose@gmail
35,25,bh,Joao,Joao@gmail
36,30,Guarulhos,Fernando,Jose@gmail
37,35,Guarulhos,Catia,Jose@gmail
38,28,São Paulo,Pereira,Pereira@gmail
39,20,Guarulhos,JUlia,Jose@gmail
40,15,Guarulhos,Caio,caio@gmail
41,18,São Paulo,Maria,Maria@gmail
42,25,Guarulhos,José,Jose@gmail
43,25,bh,Joao,Joao@gmail
44,30,Guarulhos,Fernando,Jose@gmail
45,35,Guarulhos,Catia,Jose@gmail
46,28,São Paulo,Pereira,Pereira@gmail
47,20,Guarulhos,JUlia,Jose@gmail
